추첨일,회차,당첨번호,보너스번호,1등_총당첨금액,1등_당첨게임수,1등_1게임당당첨금액,2등_총당첨금액,2등_당첨게임수,2등_1게임당당첨금액,3등_총당첨금액,3등_당첨게임수,3등_1게임당당첨금액,4등_총당첨금액,4등_당첨게임수,4등_1게임당당첨금액,5등_총당첨금액,5등_당첨게임수,5등_1게임당당첨금액,자동/반자동/수동,총판매금액
(2022- 03- 12),1006회,"8, 11, 15, 16, 17, 37",36,"25,700,419,125원",9,"2,855,602,125원","4,283,403,215원",65,"65,898,511원","4,283,404,866원","2,487","1,722,318원","6,561,700,000원","131,234","50,000원","11,442,290,000원","2,288,458","5,000원",당첨번호 6개 숫자일치,"104,542,431,000원"
(2022- 03- 19),1007회,"8, 11, 16, 19, 21, 25",40,"24,469,077,375원",9,"2,718,786,375원","4,078,179,630원",70,"58,259,709원","4,078,182,240원","2,844","1,433,960원","6,856,700,000원","137,134","50,000원","11,282,865,000원","2,256,573","5,000원",당첨번호 6개 숫자일치,"101,530,003,000원"
(2022- 03- 26),1008회,"9, 11, 30, 31, 41, 44",33,"24,941,157,010원",11,"2,267,377,910원","4,156,859,534원",97,"42,854,222원","4,156,862,310원","2,826","1,470,935원","7,053,600,000원","141,072","50,000원","11,555,045,000원","2,311,009","5,000원",당첨번호 6개 숫자일치,"103,727,042,000원"
(2022- 04- 02),1009회,"15, 23, 29, 34, 40, 44",20,"25,536,942,375원",15,"1,702,462,825원","4,256,157,084원",69,"61,683,436원","4,256,157,192원","2,632","1,617,081원","6,673,800,000원","133,476","50,000원","11,162,625,000원","2,232,525","5,000원",당첨번호 6개 숫자일치,"103,771,363,000원"
(2022- 04- 09),1010회,"9, 12, 15, 25, 34, 36",3,"24,955,040,632원",8,"3,119,380,079원","4,159,173,480원",66,"63,017,780원","4,159,174,608원","2,781","1,495,568원","6,841,400,000원","136,828","50,000원","11,390,965,000원","2,278,193","5,000원",당첨번호 6개 숫자일치,"103,011,505,000원"
(2022- 04- 16),1011회,"1, 9, 12, 26, 35, 38",42,"24,423,833,632원",11,"2,220,348,512원","4,070,638,964원",76,"53,561,039원","4,070,640,452원","2,818","1,444,514원","6,874,250,000원","137,485","50,000원","11,460,325,000원","2,292,065","5,000원",당첨번호 6개 숫자일치,"101,799,373,000원"
(2022- 04- 23),1012회,"5, 11, 18, 20, 35, 45",3,"24,205,276,134원",13,"1,861,944,318원","4,034,212,696원",76,"53,081,746원","4,034,214,954원","2,882","1,399,797원","7,075,700,000원","141,514","50,000원","11,624,760,000원","2,324,952","5,000원",당첨번호 6개 숫자일치,"101,948,323,000원"
(2022- 04- 30),1013회,"21, 22, 26, 34, 36, 41",32,"25,237,853,625원",5,"5,047,570,725원","4,206,308,943원",79,"53,244,417원","4,206,310,020원","2,586","1,626,570원","6,434,850,000원","128,697","50,000원","10,788,505,000원","2,157,701","5,000원",당첨번호 6개 숫자일치,"101,747,653,000원"
(2022- 05- 07),1014회,"3, 11, 14, 18, 26, 27",21,"24,104,493,380원",10,"2,410,449,338원","4,017,415,566원",69,"58,223,414원","4,017,417,635원","2,849","1,410,115원","7,195,300,000원","143,906","50,000원","11,863,560,000원","2,372,712","5,000원",당첨번호 6개 숫자일치,"102,396,369,000원"
(2022- 05- 14),1015회,"14, 23, 31, 33, 37, 40",44,"24,408,844,880원",8,"3,051,105,610원","4,068,140,868원",102,"39,883,734원","4,068,141,120원","2,880","1,412,549원","7,216,050,000원","144,321","50,000원","11,520,165,000원","2,304,033","5,000원",당첨번호 6개 숫자일치,"102,562,683,000원"
(2022- 05- 21),1016회,"15, 26, 28, 34, 41, 42",44,"24,867,267,381원",11,"2,260,660,671원","4,144,544,580원",68,"60,949,185원","4,144,546,348원","2,686","1,543,018원","6,620,650,000원","132,413","50,000원","11,014,570,000원","2,202,914","5,000원",당첨번호 6개 숫자일치,"101,583,153,000원"
(2022- 05- 28),1017회,"12, 18, 22, 23, 30, 34",32,"24,623,793,754원",7,"3,517,684,822원","4,103,965,670원",70,"58,628,081원","4,103,967,076원","2,596","1,580,881원","6,681,050,000원","133,621","50,000원","11,178,620,000원","2,235,724","5,000원",당첨번호 6개 숫자일치,"101,382,790,000원"
(2022- 06- 04),1018회,"3, 19, 21, 25, 37, 45",35,"24,723,489,376원",2,"12,361,744,688원","4,120,581,566원",62,"66,460,993원","4,120,583,537원","2,693","1,530,109원","6,530,100,000원","130,602","50,000원","11,081,150,000원","2,216,230","5,000원",당첨번호 6개 숫자일치,"101,151,805,000원"
(2022- 06- 11),1019회,"1, 4, 13, 17, 34, 39",6,"21,928,257,000원",50,"438,565,140원","3,654,709,500원",75,"48,729,460원","3,654,712,782원","5,823","627,634원","9,632,300,000원","192,646","50,000원","12,532,465,000원","2,506,493","5,000원",당첨번호 6개 숫자일치,"102,804,882,000원"
(2022- 06- 18),1020회,"12, 27, 29, 38, 41, 45",6,"25,563,609,760원",13,"1,966,431,520원","4,260,601,653원",77,"55,332,489원","4,260,602,637원","2,817","1,512,461원","6,911,050,000원","138,221","50,000원","11,502,335,000원","2,300,467","5,000원",당첨번호 6개 숫자일치,"104,996,396,000원"
(2022- 06- 25),1021회,"12, 15, 17, 24, 29, 45",16,"25,307,547,000원",12,"2,108,962,250원","4,217,924,536원",56,"75,320,081원","4,217,925,127원","2,461","1,713,907원","6,324,200,000원","126,484","50,000원","10,912,485,000원","2,182,497","5,000원",당첨번호 6개 숫자일치,"101,960,162,000원"
(2022- 07- 02),1022회,"5, 6, 11, 29, 42, 45",28,"24,332,340,375원",5,"4,866,468,075원","4,055,390,073원",63,"64,371,271원","4,055,391,060원","2,580","1,571,857원","6,398,100,000원","127,962","50,000원","10,775,295,000원","2,155,059","5,000원",당첨번호 6개 숫자일치,"99,233,031,000원"
(2022- 07- 09),1023회,"10, 14, 16, 18, 29, 35",25,"24,711,100,875원",9,"2,745,677,875원","4,118,516,856원",72,"57,201,623원","4,118,518,278원","2,506","1,643,463원","6,390,500,000원","127,810","50,000원","10,861,195,000원","2,172,239","5,000원",당첨번호 6개 숫자일치,"100,399,659,000원"
(2022- 07- 16),1024회,"9, 18, 20, 22, 38, 44",10,"24,162,588,000원",8,"3,020,323,500원","4,027,098,033원",63,"63,922,191원","4,027,099,176원","2,616","1,539,411원","6,703,250,000원","134,065","50,000원","11,120,485,000원","2,224,097","5,000원",당첨번호 6개 숫자일치,"100,081,038,000원"
