회차,추첨일,1등_당첨자수,1등_게임당_당첨금액,당첨번호_1,당첨번호_2,당첨번호_3,당첨번호_4,당첨번호_5,당첨번호_6,보너스번호,당첨번호_합,당첨번호_평균,당첨번호_홀짝비율,자동_당첨자수,수동_당첨자수,반자동_당첨자수,1등_당첨판매점
28,2003년 06월 14일,0,17003611000,9,18,23,25,35,37,1,147,24.5,5:1,0,0,0,
29,2003년 06월 21일,0,17762970000,1,5,13,34,39,40,11,132,22.0,4:2,0,0,0,
30,2003년 06월 28일,0,17457111000,8,17,20,35,36,44,4,160,26.67,2:4,0,0,0,
31,2003년 07월 05일,0,16213345800,7,9,18,23,28,35,32,120,20.0,4:2,0,0,0,
32,2003년 07월 12일,0,16345283000,6,14,19,25,34,44,11,142,23.67,2:4,0,0,0,
33,2003년 07월 19일,0,14903517600,4,7,32,33,40,41,9,157,26.17,3:3,0,0,0,
34,2003년 07월 26일,0,15284590000,9,26,35,37,40,42,2,189,31.5,3:3,0,0,0,
35,2003년 08월 02일,0,15163794600,2,3,11,26,37,43,39,122,20.33,4:2,0,0,0,
36,2003년 08월 09일,0,16014475800,1,10,23,26,28,40,31,128,21.33,2:4,0,0,0,
37,2003년 08월 16일,0,14957998200,7,27,30,33,35,37,42,169,28.17,5:1,0,0,0,
38,2003년 08월 23일,0,16124599200,16,17,22,30,37,43,36,165,27.5,3:3,0,0,0,
39,2003년 08월 30일,0,15742492800,6,7,13,15,21,43,8,105,17.5,5:1,0,0,0,
40,2003년 09월 06일,0,14919481200,7,13,18,19,25,26,6,108,18.0,4:2,0,0,0,
41,2003년 09월 13일,0,0,13,20,23,35,38,43,34,172,28.67,4:2,0,0,0,
42,2003년 09월 20일,0,41395680600,17,18,19,21,23,32,1,130,21.67,4:2,0,0,0,
43,2003년 09월 27일,0,17749630800,6,31,35,38,39,44,1,193,32.17,3:3,0,0,0,
44,2003년 10월 04일,0,16810779000,3,11,21,30,38,45,39,148,24.67,4:2,0,0,0,
45,2003년 10월 11일,0,16712835600,1,10,20,27,33,35,17,126,21.0,4:2,0,0,0,
46,2003년 10월 18일,0,15983276400,8,13,15,23,31,38,39,128,21.33,4:2,0,0,0,
47,2003년 10월 25일,0,16250212000,14,17,26,31,36,45,27,169,28.17,3:3,0,0,0,
48,2003년 11월 01일,0,14494041600,6,10,18,26,37,38,3,135,22.5,1:5,0,0,0,
49,2003년 11월 08일,0,13772532200,4,7,16,19,33,40,30,119,19.83,3:3,0,0,0,
50,2003년 11월 15일,0,15681184200,2,10,12,15,22,44,1,105,17.5,1:5,0,0,0,
51,2003년 11월 22일,0,14526702000,2,3,11,16,26,44,35,102,17.0,2:4,0,0,0,
52,2003년 11월 29일,0,15603379600,2,4,15,16,20,29,1,86,14.33,2:4,0,0,0,
53,2003년 12월 06일,0,15043113000,7,8,14,32,33,39,42,133,22.17,3:3,0,0,0,
54,2003년 12월 13일,0,15445879800,1,8,21,27,36,39,37,132,22.0,4:2,0,0,0,
55,2003년 12월 20일,0,14177599200,17,21,31,37,40,44,7,190,31.67,4:2,0,0,0,
56,2003년 12월 27일,0,15110283600,10,14,30,31,33,37,19,155,25.83,3:3,0,0,0,
57,2004년 01월 03일,0,16457647600,7,10,16,25,29,44,6,131,21.83,3:3,0,0,0,
58,2004년 01월 10일,0,14705716800,10,24,25,33,40,44,1,176,29.33,2:4,0,0,0,
59,2004년 01월 17일,0,16510349200,6,29,36,39,41,45,13,196,32.67,4:2,0,0,0,
60,2004년 01월 24일,0,15207532200,2,8,25,36,39,42,11,152,25.33,2:4,0,0,0,
61,2004년 01월 31일,0,17705194000,14,15,19,30,38,43,8,159,26.5,3:3,0,0,0,
62,2004년 02월 07일,0,15817286400,3,8,15,27,29,35,21,117,19.5,5:1,0,0,0,
63,2004년 02월 14일,0,15844491000,3,20,23,36,38,40,5,160,26.67,2:4,0,0,0,
